Epoch,Train Loss,Val Loss,Mean IoU,Time (s)
1,1.2285654374531336,1.4219706058502197,0.21519247920210115,7.201012372970581
2,0.8583437842982156,1.2640961170196533,0.36519247920210115,7.454866886138916
3,0.7492518850735256,1.0701396346092224,0.45637753070795993,6.802616834640503
4,0.6494256172861371,0.9356435060501099,0.50430370090219334,7.104583501815796
5,0.5662352016993931,0.7552785873413086,0.6161571855484336,7.128162860870361
6,0.5156916337353843,0.7083001136779785,0.6456576518089713,7.167386531829834
7,0.48868571860449656,0.6755981266498566,0.6826399934297612,7.49223780632019
8,0.45398275767053875,0.6538426995277405,0.7065698734176788,7.609511375427246
9,0.4094344356230327,0.6330861949920654,0.7223591834833604,7.564508438110352
10,0.3886303412062781,0.6123674716949463,0.73845377224719463,7.41497015953064
11,0.38087153009005953,0.602642723083496,0.7511624782096745,7.245469331741333
12,0.3679680185658591,0.5929424409866333,0.7656301183552512,7.0107951164245605
13,0.3521593447242464,0.584998876094818,0.77873810871605504,7.288186550140381
14,0.3617305244718279,0.573356509208679,0.78922593022278153,7.1427693367004395
15,0.33497181109019686,0.562470048904419,0.8019897468614419,7.367173671722412
16,0.3085108463253294,0.554942008972168,0.81226992409914886,7.204297304153442
17,0.2944270223379135,0.5472753701210022,0.8223041500652331,7.295256853103638
18,0.28764771670103073,0.5398688006401062,0.8319483063983168,7.143382549285889
19,0.2866640729563577,0.532161102771759,0.84130894627881225,7.014801025390625
20,0.27461003831454683,0.5264907145500183,0.8490816314722686,7.516815185546875
21,0.26656655222177505,0.5209854822158813,0.8571098765896448,7.112294435501099
22,0.2559403436524527,0.5148462200164795,0.8642225183212543,7.498555898666382
23,0.25599254348448347,0.5090160665512085,0.87166049924346666,7.37654185295105
24,0.2585941159299442,0.5046299982070923,0.8787948204725174,7.55841851234436
25,0.25098660056080135,0.4998305435180664,0.8848402040656356,7.479074716567993
26,0.24350547471216746,0.4948947014808655,0.8902506347187865,7.5543177127838135
27,0.23717847785779408,0.4890808100700378,0.89623932961219555,8.14989948272705
28,0.2377811617084912,0.4840175266265869,0.9010905057566257,7.735597848892212
29,0.23410274727003916,0.4793751389980316,0.9071002487611531,7.325173616409302
30,0.23151933275801794,0.4741711044311523,0.9117229931907441,7.483508110046387
31,0.228656702041626,0.469460712671279907,0.91632680393668962,7.708601951599121
32,0.2269498740349497,0.4637731337547302,0.9206081262759562,7.599691867828369
33,0.2250655798486301,0.4589002180099487,0.92408940555019882,7.398711442947388
34,0.2235143316728728,0.4535113544464111,0.9285257660784459,7.509871006011963
35,0.22295555617979594,0.4482562155723572,0.9316545821102347,7.314375638961792
36,0.22015317239080155,0.443731724023819,0.9344980300261501,7.219464063644409
37,0.21921912873642786,0.438257089138031,0.9371287235358387,7.33165717124939
38,0.2182886698756899,0.4339193396568298,0.94065460647651607,7.630607843399048
39,0.21722322377136775,0.428579966545105,0.9430360406526408,7.8392252922058105
40,0.2168566063472203,0.4237042779922485,0.9453042898624227,7.826028347015381
41,0.2150072192805154,0.4189461960792542,0.94740944281967475,7.33178448677063
42,0.21486556413343974,0.4123747172355652,0.9492375641391876,7.570349454879761
43,0.2135437246986798,0.4079698390960693,0.9513546788464935,7.656724214553833
44,0.21273245068958827,0.4021452922821045,0.9538517080898449,7.627449035644531
45,0.21170351836511067,0.3974934616088867,0.9555674292803707,8.224327802658081
46,0.2102786165220397,0.392502260684967,0.9577453899023071,8.055459022521973
47,0.20998804965189525,0.3876511892080307,0.9598788630232565,7.2536396980285645
48,0.2084116185137204,0.3827175159454346,0.96169458152291514,7.41515588760376
49,0.20761668231657573,0.3770456862449646,0.96323449812013486,7.115947008132935
50,0.20639208734886988,0.3724941987991333,0.9644211475605914,7.529969692230225